Town,Service Name,Description
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Foxgrove Veterinary Centre,"Beckenham’s leading 24/7 veterinary service, providing round-the-clock care for your pets. For 40 years we have been giving the best care for your pets in the Beckenham and Bromley area. Address: 8 Foxgrove Rd Beckenham, Kent BR3 5AT United Kingdom"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",All Breeds On Leads,Logo – Please can you look at my website allbreedsonleads.co.uk and add the dog logo for me. Thanks Hello My name is Lorraine and I am based in South East London. My love and passion is looking after animals particularly dogs and cats. I have grown up with many animals and I completely understand the …
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Leo and Friends pet services,"Here at Leo and Friends we pride ourselves on offering top quality service at affordable prices including walking, daycare and overnight boarding. We offer morning, midday and afternoon walks of 4-6 dogs to best suit you and your lifestyle Fully insured inc. public liability, pet first aid and I’m also studying advanced canine behaviour at …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Gabriella & Daniella Dog Walking Service,"Do you not have enough hours in the day to look after and walk your pet? Well, we are here to help. We will be able to come and walk and/or pet sit your dog whilst you are at work. Hours: We are available from 8am  4pm Monday to Friday We charge £10 an …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Princess and the Pets,"Princess and the Pets is the new boutique pet services company operating in Croydon, Surrey and South London. We offer a range of services at competitive prices that are delivered to the highest standard, exactly what you would hope for when entrusting your beloved fur children in the hands of a pet carer. We are …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Princess and the Pets,"Princess and the Pets is the newest and most bespoke pet care company in the South of London. We offer a range of services at competitive prices that are delivered to the highest standard, exactly what you would hope for when entrusting your beloved fur children in the hands of a pet carer. We are …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Dog & Co (UK) Ltd,"We offer day care from 1 hour to 12 hours, dog walking, pet taxi, home visits to feed pets when you are on holiday, and long term and short term home boarding. For other options please call or browse our website."
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Urban Dogs Bromley / Purley,"I run a dog walking service covering Croydon, Bromley, Purley, Beckenham, Shirley, Addiscombe, Sanderstead and everywhere in between. My personal interests are exercise physiology of the sports horse and dog,I compete my own animals in sports, and as a result, set up this service so that I have more time for my own hobby. I …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Urban Dogs,"I am a fully insured experienced dog walker and trainer covering Bromley, Beckenham, Croydon, South Croydon, Purley, Carshalton and Sutton areas. I am a member of the Kennel Club Assured Instructor Scheme, and offer one to one walking and training, as well as groups with doggie friends, if this is what is required. Please see …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Little Barks Dog Walking,"We offer a range of dog related services ranging from dog walking to overnight dog boarding and everything in between. ?We have had dogs in our family for the last 20 years and currently live with one dog of our own, Murphy. Based in Bromley we are spoilt for great parks meaning we can give …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",MyMoosh,"Hi my names paul but friends and family call me billy, Ive walked dogs all my life but due to unemployment I completed a professional pet sitters diploma with the intention of building enough clients for this to become a full time occupation. Im also covered with liability insurance and have a dbs clearance. Ex …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Pawtastic,"Here at Pawtastic, I provide a reliable, caring, friendly and professional service. These include dog walker, microchipping, dog grooming and pet visits. Initial free consultation, CRB checked, insured with pet business insurance and Member of National Association of Pet sitters and dog walkers (NARPS) for 30 minutes – £8 per walk for 1 hour – …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Pooches,Hello my name is Wendy. I offer daily walking for dogs I also offer day and holiday boarding. I have over 40 years of experience with dogs. I live in a 3bed house with a paved back garden so easy to clean when day or holiday boarding. Walks take place in a local nature reserve …
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Wendy Pooches,"My name is Wendy I offer Dog Walking In Beckenham and areas close to Beckenham. I also offer Dog Day Care along with Boarding when you are away on business or holidays. I have had dogs all my life, over 40 years of experience. You can rest assured when your furry members of your family …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Dogknows Bromley,"I am a professional, experienced and fun dog walker! At dogknows we want to help your dog get the best from life. We create positive relationships between dogs and their owners by providing dog care and training services for dogs of all ages. My business includes solo and small group dog walks as well as …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee","Walkies with Ace – Dog Walks in Bromley, Beckenham & Beyond","Professional, reliable, kind and experienced, my business is insured and licensed by Bromley Council for home boarding dogs, daycare and walks. Walks are an hour long, in woodland, open spaces and local parks. Your dog will be collected in my van, and an hour’s walk includes pick-up and drop-off. If you need a holiday, work …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Love Your Pets,"Love Your Pets are friendly professional animal owners who are available to provide daytime walks for your dogs. We also offer additional services to pet owners – such as home visits to feed cats, rabbits, birds and rodents. We offer competitive rates and discounts for pensioners."
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Animal Eden Pet Care,"If you are looking for competitive, professional and friendly pet care, then look no further. We offer one to one and small group dog walking, ‘pop-in’ pet care for cats and other small pets and a pet taxi service. We are fully insured and hold valid CRB checks. Our rates are very competitive, for example …"
"Greater London > Beckenham, Bellingham, Bromley, Downham, Lee",Footprints and Pawprints,"I am a fit energetic person with a real love for all animals. I enjoy walking and would love to have the opportunity to look after your dog I have 32 years experience as a dog owner. During this period of time I have seen three dogs through from puppyhood to old age, the experience …"
Greater London > Bromley,Sniff n’ Stroll,"Welcome to Sniff n’ Stroll, where your pet’s happiness is our top priority! Based in Bromley, London, we offer professional dog walking and pet sitting services that cater to your pet’s unique needs. Our services include: Regular Dog Walking: Keep your dog healthy and happy with regular walks tailored to their energy level and breed. …"
Greater London > Bromley,Boyd’s Dog Walking,"If you’re looking for someone to help walk your dogs regularly or just the one off I can help. I am based in Bromley so if you need your dog walking in Bromley or the surrounding area, (including Keston, Chislehurst and Hayes) get in contact with me and we can discuss my services. I love …"
Greater London > Bromley,Walkz with Ted,"Hello, I have a 10 month old French Bulldog called Ted. He has a very funny and friendly personality and loves nothing more than spending time with humans and dogs! At the weekend we spend our time playing and on long walks. Ted would love friends to spend his time with. Dog walking, doggy day …"
Greater London > Bromley,02082490169,"It’s all about teaching and encouraging good behaviour in and outdoors…..with fun, exercise, games and clear training. Qualifications: Level 5: Canine Behaviour Management & Psychology Studying towards BSc Canine Behaviour Management (final year) on a pathway to become a clinincal behaviourist. Group walker for up to six dogs, if temperament tests allows them to fit …"
Greater London > Bromley,All Sorts of Paws,"Hi, I’m Ben. I’ve been looking after and walking dogs via the app Rover for the last 3 years. I have always been a dog person, having grown up with a black Labrador and now fostering dogs. I am registered with 2 animal charities. The Cinnamon Trust, a charity for helping elderly and terminally ill …"
Greater London > Bromley,Orthrus Canine,"We are a family run dog walking and training business that pride ourselves on giving you and your dog a personal service. After serving 6 years in the British Army, working with dog units overseas, I decided to leave and run my own business with my wife. Unlike other dog walking companies, we DO NOT …"
Greater London > Bromley,"Run Free Star Dog Walking, Pet Sitting and Home Care","Hi my name is Jo, I live locally in Hayes, Bromley. I am really passionate about animals and decided to do something about what I love. I have a family that also shares my love of animals as well as experience with our own dogs for the past 15 years. Your pets will be treated …"
Greater London > Bromley,Scamps & Champs SE London,"Scamps & Champs is a national high quality pet care provider with a local branch in Lee, covering SE London. We offer a friendly alternative to dog boarding kennels and catteries. All our pet carers are fully insured, vetted and police checked. Scamps & Champs offer a wide range of pet care services including dog …"
Greater London > Bromley,Country Dog Walks,Family run business. Many years experience with dogs – We are fully insured. We supply Doggy Seat belts for travel. Safety first. We offer One 2 one walks Group walks Home visits Veterinary Appointments Doggy Day Care
Greater London > Bromley,Mad about Dogs,"Hi, I offer dog walking and a walking doggy daycare service."
Greater London > Bromley,Social Pet Society,"I’m Emily. Ive always loved and looked after animals. I grew up in a household of cats and was always looking after my neighbour’s dogs, cats, rabbits and hamsters. My husband and I currently have a gorgeous rescue dog called Baloo, and a beautiful tortoiseshell called Elsa (the Disney connection is completely accidental!). I created Social Pet Society …"
Greater London > Bromley,Martha Valentines Dog Retreat,"I’m a huge dog lover and currently a canine mum to Martha Valentine. I’ve always loved dogs and have always welcomed them into my home. I’ve grown up with large dogs and treat all dogs as part of the family. I have a safe & secure garden, where dogs can run/play. I live close to …"
Greater London > Bromley,Dog Walking Kent,"Friendly dog walker available for dog walking, animal home visits, feeding and much more in West Kent. Please get in touch for availability. Fully Insured, DBS Checked. https://dogwalkingkent.co.uk/wp-content/uploads/2018/07/dogwalkingkent_logo.png"
Greater London > Bromley,Maggie Dog Walking,"I am a professional and caring registered dog walker and pet sitter. I am Fully CRB checked, Fully insured and registered with the National Association of Registered Pet Sitters and Dog Walkers. I hold a qualification in pet care and canine first aid. I am currently studying canine behaviour and training. I aim to put …"
Greater London > Bromley,Beckenham Student Dog Walker,"Hi! My names Imani and I’m based in Beckenham. I’m a animal lover but I especially love dogs! I’m currently a student at university, but whilst I’m in Beckenham I would love to take care of some gorgeous dogs, whether trained or not – I can help!"
Greater London > Bromley,Furry Steps,"Pet care service here to suit yours & your pets needs. Whether you’re at work; going on holiday, or just need an extra helping hand, we are here to help. Offering services from walks, daycare, boarding, socialisation to pet visits. Fully insured & CRB checked. Trustworthy – with lifelong experience."
Greater London > Bromley,Casey’s Dog Walking,"Hello, my name is Casey I am fully insured dog walker and have all the required certificates. I offer individual walks for 30 minutes and 60 minutes. Also group walks for 60 minutes. First walk starts at 9:30am and last walk starts at 2pm. I have a beautiful dog myself so I have a love …"
Greater London > Bromley,All Breeds On Leads,Logo – Please can you look at my website allbreedsonleads.co.uk and add the dog logo for me. Thanks Hello My name is Lorraine and I am based in South East London. My love and passion is looking after animals particularly dogs and cats. I have grown up with many animals and I completely understand the …
Greater London > Bromley,Leo and Friends pet services,"Here at Leo and Friends we pride ourselves on offering top quality service at affordable prices including walking, daycare and overnight boarding. We offer morning, midday and afternoon walks of 4-6 dogs to best suit you and your lifestyle Fully insured inc. public liability, pet first aid and I’m also studying advanced canine behaviour at …"
Greater London > Bromley,Stay Play and Walkies,"Welcome to Stay Play and Walkies – a pet boarding/sitting/walking service based near Chislehurst station run by myself, Clare. The younger members of my family often help out too especially when there are kittens / puppies involved Board your small friends in the well equipped summer house, where they will be fed twice a day …"
Greater London > Bromley,Millymoos,"I am a friendly, highly experienced animal loving pet sitter / dog walker covering the Bromley area."
Greater London > Bromley,Sam’s walkies,My name is Sam and I offer a friendly professional dog walking service in the Chislehurst and surrounding areas. I have worked with many animals over the years great and small. I love them all especially dogs. Please visit my website If you are interested in having your dog walked either on its own or …
Greater London > Bromley,PHOENIX DOG WALKERS,"Hi Here at phoenix dog walkers we go the extra mile and make sure your dog is well excerised, no matter what the weather, We are a small family run business who adore pets, we understand all types of dogs, * FULLY INSURDED * TRAINED IN FIRST AID * 7 DAY A WEEK SERVICE * …"
Greater London > Bromley,Dog & Co (UK) Ltd,"We offer day care from 1 hour to 12 hours, dog walking, pet taxi, home visits to feed pets when you are on holiday, and long term and short term home boarding. For other options please call or browse our website."
Greater London > Bromley,Muddy Paws,"Friendly and reliable dog walking service located in Sidcup and surrounding areas (5 mile radius). Various walk times available at a competitive rates. Group walks and individual walks, doggy day care and home boarding.Includes pick up and drop offs. Fully insured and client references are available. Tel: 07903236109"
Greater London > Bromley,Urban Dogs Bromley / Purley,"I run a dog walking service covering Croydon, Bromley, Purley, Beckenham, Shirley, Addiscombe, Sanderstead and everywhere in between. My personal interests are exercise physiology of the sports horse and dog,I compete my own animals in sports, and as a result, set up this service so that I have more time for my own hobby. I …"
Greater London > Bromley,Urban Dogs,"I am a fully insured experienced dog walker and trainer covering Bromley, Beckenham, Croydon, South Croydon, Purley, Carshalton and Sutton areas. I am a member of the Kennel Club Assured Instructor Scheme, and offer one to one walking and training, as well as groups with doggie friends, if this is what is required. Please see …"
Greater London > Bromley,Little Barks Dog Walking,"We offer a range of dog related services ranging from dog walking to overnight dog boarding and everything in between. ?We have had dogs in our family for the last 20 years and currently live with one dog of our own, Murphy. Based in Bromley we are spoilt for great parks meaning we can give …"
Greater London > Bromley,MyMoosh,"Hi my names paul but friends and family call me billy, Ive walked dogs all my life but due to unemployment I completed a professional pet sitters diploma with the intention of building enough clients for this to become a full time occupation. Im also covered with liability insurance and have a dbs clearance. Ex …"
Greater London > Bromley,Walkies,"I love to walk, but walking with dogs is much more entertaining, Im reliable & trustworth. I have 2 fur babies of my own, aged 12 & 1, plenty of experience of caring & being responsible for dogs."
Greater London > Bromley,Chesters dog walking and petcare,"Hi, I am fully insured, reliable and trustworthy. I can provide references. I love animals and will treat yours as my own. Please feel free to contact me to discuss your requirements."
Greater London > Bromley,Ready Pet Go Ltd,"Ready, Pet, Go! are the UK’s trusted pet care specialists, providing dog walking, pet sitting, pet taxiing and home visit services to South-East London and Kent. We have over 30 years of pet care experience and over 9 years of veterinary nursing practice, so you can be sure your four-legged companion will be in best …"
Greater London > Bromley,Pooches,Hello my name is Wendy. I offer daily walking for dogs I also offer day and holiday boarding. I have over 40 years of experience with dogs. I live in a 3bed house with a paved back garden so easy to clean when day or holiday boarding. Walks take place in a local nature reserve …
Greater London > Bromley,Wendy Pooches,"My name is Wendy I offer Dog Walking In Beckenham and areas close to Beckenham. I also offer Dog Day Care along with Boarding when you are away on business or holidays. I have had dogs all my life, over 40 years of experience. You can rest assured when your furry members of your family …"
Greater London > Bromley,Dogknows Bromley,"I am a professional, experienced and fun dog walker! At dogknows we want to help your dog get the best from life. We create positive relationships between dogs and their owners by providing dog care and training services for dogs of all ages. My business includes solo and small group dog walks as well as …"
Greater London > Bromley,"Walkies with Ace – Dog Walks in Bromley, Beckenham & Beyond","Professional, reliable, kind and experienced, my business is insured and licensed by Bromley Council for home boarding dogs, daycare and walks. Walks are an hour long, in woodland, open spaces and local parks. Your dog will be collected in my van, and an hour’s walk includes pick-up and drop-off. If you need a holiday, work …"
Greater London > Bromley,Daniellas pet care,"I will walk small to medium dogs, I’ll dog sit while the owner is away in the owners home of for a short time in the Bromley area. I charge £8 a time."
Greater London > Bromley,Footprints and Pawprints,"I am a fit energetic person with a real love for all animals. I enjoy walking and would love to have the opportunity to look after your dog I have 32 years experience as a dog owner. During this period of time I have seen three dogs through from puppyhood to old age, the experience …"
Greater London > Bromley,DogBuddies,"We have a lifetime experience of living with and caring for Dogs, We are a dedicated team of carers, all of whom live within our client areas and have been trained to a rigorous standard to ensure that all clients receive the highest level of service. walks can be on a one-to-one basis if you …"
Greater London > Bromley,Padifoot Pet Care,"Educated with 2 Degrees in Animal Behaviour and with a wide range of experience of caring for different animals and types of pets. I offer a reliable and trustworthy service for pet owners and their beloved ones in a caring manner. I am a qualified, professional, insured pet carer covering many areas of Kent. This …"
"Kent > Beckenham, Bickley, Bromley, Chiselhurst, Elmstead Woods",Martha Valentines Dog Retreat,"I’m a huge dog lover and currently a canine mum to Martha Valentine. I’ve always loved dogs and have always welcomed them into my home. I’ve grown up with large dogs and treat all dogs as part of the family. I have a safe & secure garden, where dogs can run/play. I live close to …"
"Kent > Beckenham, Bickley, Bromley, Chiselhurst, Elmstead Woods",B&D Professional Dog Walking Services,"B&D Professional Dog Walking Services is a professional, friendly and experienced dog walking company that puts the care and happiness of your dog first by delivering a first class personal service as the number one priority. We have a team of wonderful walkers based in Keston/Bickley/Hayes/sanderstead,south Croydon/Purley (if your area is not covered, please make …"
"Kent > Beckenham, Bickley, Bromley, Chiselhurst, Elmstead Woods",B&D professional dog walking,"B&D Professional Dog Walking Services is a professional, friendly and experienced dog walking company that puts the care and happiness of your dog first by delivering a first class personal service as the number one priority. We have a team of wonderful walkers based in Keston/Bickley/Hayes/sanderstead,south Croydon/Purley (if your area is not covered, please make …"
"Kent > Beckenham, Bickley, Bromley, Chiselhurst, Elmstead Woods",Stay Play and Walkies,"Welcome to Stay Play and Walkies – a pet boarding/sitting/walking service based near Chislehurst station run by myself, Clare. The younger members of my family often help out too especially when there are kittens / puppies involved Board your small friends in the well equipped summer house, where they will be fed twice a day …"
"Kent > Beckenham, Bickley, Bromley, Chiselhurst, Elmstead Woods",Sam’s walkies,My name is Sam and I offer a friendly professional dog walking service in the Chislehurst and surrounding areas. I have worked with many animals over the years great and small. I love them all especially dogs. Please visit my website If you are interested in having your dog walked either on its own or …
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Chico’s Dogs,"Hi, I’m Francisco! I really love spending time with dogs and have some experience in taking care of them. I have had more than 10 dogs in my lifetime (the ones in my profile are my most recent babies, Caju and Minu) I haven’t got any kids around so no need to worry if your …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Doggy days,Hello I’m an experienced dog owner who has had 3 lovely dogs in the past and just a huge animal lover at heart. I recently lost my dog and missing the daily walks and companionship of a dog so I’m offering my services cheaply as I’m doing this more for the love of animals. I …
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Maggie Dog Walking,"I am a professional and caring registered dog walker and pet sitter. I am Fully CRB checked, Fully insured and registered with the National Association of Registered Pet Sitters and Dog Walkers. I hold a qualification in pet care and canine first aid. I am currently studying canine behaviour and training. I aim to put …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Ready Pet Go Ltd,"Ready, Pet, Go! are the UK’s trusted pet care specialists, providing dog walking, pet sitting, pet taxiing and home visit services to South-East London and Kent. We have over 30 years of pet care experience and over 9 years of veterinary nursing practice, so you can be sure your four-legged companion will be in best …"
"Kent > Ightham, Sevenoaks, Tonbridge",Puddles Dog Walking Services,"I am your local, friendly dog walker. Working very closely with my clients, I create the best walking experience for their pampered pooches. Puddles Dog Walking is a personable and friendly business which welcomes all types of furry friends and all the extras! Offering group walks, long walks (3 hours) and pop in sessions to …"
"Kent > Ightham, Sevenoaks, Tonbridge",Francesca’s dog walking,"Hello 🙂 I am a well established local dog walker and have currently been doing what I love for 4 years. I am fully insured and dbs checked. I have completed OFQUAL level 3 in canine care, behaviour and welfare. I offer solo and group walks depending on your dogs needs. I also offer home …"
"Kent > Ightham, Sevenoaks, Tonbridge",Tails of Success Kent,"Hi, my name is Tina and I am co owner of Tails of Success Kent, an independent fun loving dog training school. We have a variety of services for our four legged friends, including dog walks, home visits, group classes, 1-1 sessions, canine nutrition and bereavement counselling. We are fully insured, have a wealth of …"
"Kent > Ightham, Sevenoaks, Tonbridge",WagLee,Hi I am Juliet Lee I started WagLee 4 years ago when i gave up teaching PE to teenagers to become a dog walker… (and they say never work with children or animals… looks like i never got the memo!) I am an animal lover who is fully insured and DBS checked and treat your …
"Kent > Ightham, Sevenoaks, Tonbridge",The little dog walking company Ltd,"The little dog walking company was established by two friends with a ever growing passion for animals. ? Living in the country meant we had the perks of growing up with & around various animals, especially dogs of all breeds and sizes. We have now turned our passion for animals into a professional & proud …"
"Kent > Ightham, Sevenoaks, Tonbridge",Utterly Pawsome Dog Walking,Friendly family run business. DBS checked. Fully Insured. Professionally Trained. Canine First Aid Trained. Offer very flexible times to accommodate your requirements. Pick up and drop off to your home. Free no obligation meet to assess if our services meet your needs.
"Kent > Ightham, Sevenoaks, Tonbridge",W.A.G.S. of Sevenoaks,"W.A.G.S. Walks galore Sevenoaks Personal dog walking service in Sevenoaks, Tonbridge and the surrounding area customised to your dogs needs. All dogs are individuals and have their own preferences and WAGS provides the following services . On or off the lead walks . Energetic or strolling . With or with out other dogs . House …"
"Kent > Ightham, Sevenoaks, Tonbridge",HeiDor’s Fetch!,"HeiDors Limited was incorporated on 22 February 2019. The company is trading under HeiDor’s Fetch! is founded by Mr Sooraj Nandan. HeiDor’s Fetch! is based at Sevenoaks in Kent, and provides services all districts and Medway Unitary Authority across Kent covering Sevenoaks, Dartford, Gravesham, Tonbridge and Malling, Medway, Maidstone, Tonbridge Wells, Swale, Ashford, City of …"
"Kent > Ightham, Sevenoaks, Tonbridge",Edenbridge Errands,"Edenbridge Errands can help if you are a busy mum, a small business, an elderly person not as mobile as you once were. Anyone needing an extra pair of hands for an hour, some shopping, cleaning, small deliveries, pet care/dog walking, admin or childcare. Edenbridge Errands can be your very own Mary Poppins! Fully insured …"
"Kent > Ightham, Sevenoaks, Tonbridge",Animal Kingdom,"Animal Kingdom offers a wide range of services from training and behaviour to dog day care and in home boarding and walking. Based on a 100acre farm we cater to ever dogs needs, with a background of working in vets and qualifications in animal care and behaviour you can ensure your dogs are in the …"
"Kent > Ightham, Sevenoaks, Tonbridge",easyDogwalker Edenbridge,"I joined easyDogwalker to fulfil my ambition to run my own business and do something I love. My job is rewarding and fun and I love all the animals I care for. It really is never a chore going to work! As a pet owner and animal lover, I have lots of experience caring for …"
"Kent > Ightham, Sevenoaks, Tonbridge",Lucy Loves Pets,"Hi , I am Lucy a passionate animal lover who will care for your pet as if they were my own. Fully insured, CRB/DBS checked and dog first aid trained. I am offering dog walking, doggie day care and small pet visits for cats, guinea pigs, rabbits, hens, hamsters, fish, I love them all. Alongside …"
"Kent > Ightham, Sevenoaks, Tonbridge",Pug Hotel,"The Pug Hotel offers home boarding for Pugs and French Bulldogs whilst owners are away on holiday. Unfortunately pugs do not thrive well in a traditional kennel environment. At the Pug Hotel, your dog will be treated as one of the family and will be given a safe, secure and loving environment just as they …"
"Kent > Ightham, Sevenoaks, Tonbridge",Sled Dog Boarding & Walking Services,"Sled Dog Boarding & Walking Services provide more than just pet care – we care about your dog just as we care about our own. Not only are we animal lovers, but we also have the experience to provide the highest quality services to our customers. Today’s lifestyle can be busy and complicated so we …"
"Kent > Ightham, Sevenoaks, Tonbridge",Parklife pups,"ParkLife Pups is a local, honest, reliable and friendly dog walking service in the Sevenoaks area. I strive to ensure your dogs are happy, exercised and well looked after. Additional to dog walking, I can also offer cat care, small mammal and reptile care, home visits and great customer service. I am happy to look …"
"Kent > Ightham, Sevenoaks, Tonbridge",Dog Walking Kent,"Friendly dog walker available for dog walking, animal home visits, feeding and much more in West Kent. Please get in touch for availability. Fully Insured, DBS Checked. https://dogwalkingkent.co.uk/wp-content/uploads/2018/07/dogwalkingkent_logo.png"
"Kent > Ightham, Sevenoaks, Tonbridge",Dog Walking and Pet Care Kent,"There is nobody more trustworthy or experienced in this business than me. I am lucky enough to have spent over 15 years successfully working with animals of all shapes, sizes and temperaments. I have worked as a Centre Manager for some leading animal charities and as a Veterinary Nurse. So I really have seen it …"
"Kent > Ightham, Sevenoaks, Tonbridge",The Dog Hour Ltd,"?HOW DO YOU DECIDE WHO TO LOOK AFTER YOUR DOG? Our dogs are like our children, and handing them over to a complete stranger is a scary prospect. At The Dog Hour I treat all dogs as if they were my own. Their safety and happiness is paramount and something I never ever compromise on. …"
"Kent > Ightham, Sevenoaks, Tonbridge",Leashes and Love,"Leashes and Love offers a professional reliable dog walking, Pet pop in service across borough green and New ash green and surrounding areas.we are 2 sisters Becky has a horse dog and 2 g.pigs with over 15 years experience of working and handling all types of animals. ND in applied science in animal management. Sophie …"
"Kent > Ightham, Sevenoaks, Tonbridge",Pawsforthought,"Based in Tunbridge Wells, Pawsforthought or “Paws” (for short) has been an established pet services operation for a number of years, my name is Tracey Holmes and as a qualified animal behaviourist, specialising in dog and horse behavioural training, If you are looking for dog behavioural training or dog walking for your pet in the …"
"Kent > Ightham, Sevenoaks, Tonbridge",Walkies of Westerham,"My passion is seeing a dogs that are happy, healthy and content. I am here to help in anyway I can. – Working late? – Away for the day? – Unable to walk your dog because of health reasons? Let me give he/she the daily exercise that they need. I can provide a dog walking …"
"Kent > Ightham, Sevenoaks, Tonbridge",Animal Kingdom,"Qualified in animal management and canine behaviour, worked with animals all my life I’m nearly 23, I compete in dog agility and I’m a qualified trainer. Horse riding is another passion"
"Kent > Ightham, Sevenoaks, Tonbridge",Animals at Home (Tunbridge Wells and Sevenoaks) Ltd,"Animals at Home offer pet care services to your home, from a small pet to a small holding. We offer the largest national Animal Pet Ambulance and Pet Taxi service in the UK. Animals at Home provide a real alternative to dog boarding kennels and catteries. We provide specialist care through our pet sitters, dog …"
"Kent > Ightham, Sevenoaks, Tonbridge",Palms to Paws,"Hello, my name is Samara. I offer dog walking, dog boarding and house sitting For dogs, cats and horses. I have a lot of experiance and knowledge and have grown up with all different animals from a very young age. I am a veterinary nurse and I also have a Diploma in animal management and …"
"Kent > Ightham, Sevenoaks, Tonbridge",Leigh’s Pet Care,"With over 11 years experience and a lifetime of looking after my own pet cats, dogs, horses, rabbits, chickens, tortoise, pond and tropical fish, I can guarantee a professional caring service. My pet sitting service is tailored to meet the individual needs of each and every pet in my care, if required I can administer …"
"Kent > Ightham, Sevenoaks, Tonbridge",Companion Care for Tunbridge Wells,Your local pet carer ?Serving Tunbridge Wells and surrounding areas – Doggy Daycare – Dog Walking – Pet Sitting – Home Boarding – Pet Feeding – Home Visits
"Kent > Ightham, Sevenoaks, Tonbridge",Andys Weekend Dog Walks,"From a young age I was fortunate enough to be surrounded by animals. My home and friends were surrounded with dogs, cats and hamsters. Some of which we took in from the cold after being dumped. As I grew up my love of dogs continued and with currently working in London during the week I …"
